id;name;author;category
1;navigating;Intelligent;Versatile
2;Ridge copying;bandwidth;Direct
3;Garden Right-sized;Metrics magnetic;Rubber Chicken Yen
4;24/7 functionalities;deposit;Pants orchid
5;users;conglomeration Incredible enhance;quantifying
6;Pennsylvania;indexing;Hat
7;Utah maroon Producer;Reverse-engineered Cheese;Future-proofed
8;Knolls deposit Interactions;mobile Loan Gateway;Key Manager Handmade
9;plum;Ball Steel;neural
10;synthesizing;web-enabled digital Buckinghamshire;compressing lime Avon
